No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
1,AAL,-7.93%,1.69%,6.03%,-12.12%,56.38%,25.94%,3.32%,3.06%,3.10,29.57M,0.60,19.86,0.10%,"17,733,598"
2,AAPL,3.77%,3.18%,4.63%,20.56%,28.56%,15.68%,1.78%,1.47%,1.90,74.82M,1.18,153.49,1.65%,"88,243,478"
3,ABMD,-3.39%,-1.69%,3.04%,24.28%,27.26%,5.95%,3.44%,3.87%,2.40,208.06K,0.86,343.50,-2.34%,"178,086"
4,ADBE,3.58%,5.44%,5.18%,36.41%,43.32%,34.10%,1.68%,1.91%,1.70,2.05M,0.59,670.67,-0.05%,"1,213,208"
5,ADI,3.42%,5.89%,12.14%,17.29%,37.66%,26.61%,1.64%,1.83%,1.80,4.57M,0.48,187.04,-0.34%,"2,207,561"
6,ADP,3.15%,10.70%,12.20%,22.02%,34.48%,34.44%,1.33%,1.38%,3.00,1.37M,0.78,236.88,0.69%,"1,073,159"
7,ADSK,3.13%,11.41%,0.06%,17.57%,30.80%,8.26%,2.11%,2.24%,2.10,1.34M,1.04,330.55,-0.93%,"1,395,081"
8,AEP,-1.12%,-0.67%,-7.92%,-3.50%,-4.02%,-0.04%,1.42%,1.46%,2.20,2.57M,0.83,83.24,0.82%,"2,126,598"
9,AKAM,0.03%,1.76%,-2.83%,-3.22%,7.19%,4.60%,1.73%,1.99%,2.10,1.28M,0.76,109.82,-0.94%,"967,314"
10,ALGN,0.39%,16.50%,1.83%,17.76%,53.38%,29.56%,2.13%,3.13%,1.80,594.40K,0.58,692.32,0.47%,"347,629"
11,AMAT,3.71%,15.88%,20.73%,19.70%,109.74%,80.74%,2.23%,2.75%,2.00,6.85M,0.81,155.98,-1.19%,"5,545,857"
12,AMD,8.20%,30.10%,45.94%,93.88%,81.55%,65.02%,3.99%,4.58%,2.30,51.18M,1.06,151.34,-0.73%,"54,191,702"
13,AMGN,-3.47%,-0.46%,-8.28%,-18.30%,-11.45%,-10.48%,1.68%,1.96%,2.50,2.62M,1.27,205.82,0.21%,"3,316,742"
14,AMZN,1.92%,3.04%,11.33%,9.28%,13.18%,8.97%,1.89%,2.37%,1.70,3.09M,0.83,3549.00,0.23%,"2,549,428"
15,ANSS,1.71%,9.11%,11.64%,19.67%,24.88%,9.77%,2.06%,2.41%,2.30,296.67K,0.84,399.36,-0.26%,"248,666"
16,APA,-3.72%,2.98%,72.87%,34.08%,141.78%,94.93%,3.79%,3.97%,2.40,9.64M,0.99,27.66,-6.62%,"9,505,599"
17,ATVI,-3.69%,-16.82%,-22.81%,-33.52%,-16.74%,-30.86%,4.72%,3.02%,1.80,9.62M,2.98,64.20,-2.93%,"28,682,006"
18,AVGO,3.80%,11.61%,20.30%,25.20%,49.67%,30.10%,1.49%,1.65%,2.00,1.63M,0.76,569.64,0.15%,"1,242,604"
19,BIIB,-3.20%,-3.64%,-23.70%,-9.84%,3.85%,5.52%,2.43%,2.92%,2.30,1.02M,1.46,258.38,-1.21%,"1,490,841"
